,planet_name,disposition,kic_id,koi_id,kep_mag,gmag,gmag_err,kmag,kmag_err,parallax,parallax_err,ruwe,mstar,mstar_err1,mstar_err2,rstar,rstar_err1,rstar_err2,rhostar,rhostar_err1,rhostar_err2,teff,teff_err1,teff_err2,feh,feh_err1,feh_err2,logg,logg_err1,logg_err2,age,age_err1,age_err2,age_flag,npl,snr,rcf,detprob,period,period_err1,period_err2,epoch,epoch_err1,epoch_err2,ror,ror_err1,ror_err2,duration,duration_err1,duration_err2,impact,impact_err1,impact_err2,fpp,rgap,rgap_err,rp,rp_err,rp10,rp10_err,rpadj,rpadj_err,sma,sma_err1,sma_err2
20,K00063.01,CONFIRMED,11554435,K00063,11.582,12.0061,0.02,9.997,0.022,5.155,0.0252,0.8759,0.966,0.036,-0.048,0.908,0.016,-0.016,1.282,0.075,-0.095,5485.7,82.1,-82.4,0.147,0.113,-0.117,4.506,0.019,-0.029,2.58,3.26,-1.79,0,1,40.2,,0.0033966584306448,9.43414152095,2.1786553999092462e-05,-2.1591050000324685e-05,110.843465795,0.0017678490000037073,-0.001768448999996508,0.057847475586,0.002257695771000004,-0.0012253764632800049,0.11572237715691039,0.0034729585886438125,-0.002749607311333016,0.32074370891,0.27729960044000007,-0.2198973762432,3.6e-05,1.8518276334477999,0.030269819442712793,5.729291763814243,0.20629197960138568,5.692698745288146,0.20850094200495342,5.729291763814243,0.20629197960138568,0.0863790474614157,8.643104201373575e-06,-1.152413893516477e-05
21,K00064.01,CANDIDATE,7051180,K00064,13.143,13.7945,0.02,11.23,0.016,1.1079,0.0144,0.8327,1.269,0.07,-0.111,2.46,0.036,-0.037,0.085,0.007,-0.009,5305.6,359.0,-256.3,0.058,0.159,-0.148,3.757,0.03,-0.045,4.07,1.48,-0.53,0,1,30.1,,0.0097675801474282,1.9510816906500001,3.830669999871361e-06,-3.9621940002287914e-06,90.543369171,0.0016256792800106723,-0.0015878370000024233,0.030927404654999997,0.0012571298478000065,-0.0008207877912799998,0.06036386968640178,0.0025510075760580148,-0.002431563891547854,0.3098237505,0.2734506685403999,-0.21310519572796,0.56,2.2023560063791376,0.08044109856571408,8.298684675603926,0.31033907026571583,6.933293145559933,0.3205949295791308,8.298684675603926,0.31033907026571583,0.033084046323802255,4.899942707965803e-06,-7.769909151202918e-06
22,K00069.01,CONFIRMED,3544595,K00069,9.931,10.3292,0.0261,8.37,0.019,10.4274,0.0239,1.0385,0.9,0.063,-0.063,0.939,0.018,-0.018,1.079,0.114,-0.116,5589.4,98.2,-98.9,-0.081,0.138,-0.144,4.445,0.038,-0.042,7.17,4.67,-3.99,0,1,287.8,1.0,0.0050240416653851,4.72674008,1.5920480000986004e-06,-1.5262720003406116e-06,67.926427008,0.00026296560000105274,-0.00027156988001308946,0.015224176988999999,0.0006295081502400018,-0.00022565651283999733,0.12101361129403593,0.0008118572935002788,-0.0004899996844058008,0.38372985099,0.24996720991,-0.24944660884360004,0.00012,1.9980945427583272,0.04424963071323144,1.5593014965963554,0.05691327663790484,1.4359254241175905,0.07209126768146083,1.4707101752531038,0.07209126768146083,0.053219373945668474,1.000238957028252e-05,-1.000238957028252e-05
23,K00070.01,CONFIRMED,6850504,K00070,12.498,12.9514,0.0221,10.871,0.013,3.5403,0.0219,1.0266,0.922,0.043,-0.054,0.888,0.016,-0.015,1.309,0.094,-0.117,5438.4,87.3,-87.2,0.069,0.113,-0.126,4.505,0.025,-0.036,4.1,4.29,-2.76,0,5,252.8,1.0054,0.0030737790353943,10.854096007,5.018319999550158e-06,-4.974599999485463e-06,71.608019399,0.00037738247999641317,-0.00037097719999223955,0.029228704427500002,0.0007065824325000018,-0.0002800834946200016,0.1569157472641817,0.0010285574847235524,-0.0006634523231836553,0.296148123835,0.20098713697499998,-0.19750850145676,2.2e-06,1.8234863662579885,0.0298806252060362,2.831086967458653,0.07179482450176204,2.856725510272842,0.07776470014050345,2.839955738780092,0.07776470014050345,0.0933799972366173,1.1693037842981607e-05,-1.4684280081883877e-05
24,K00070.02,CONFIRMED,6850504,K00070,12.498,12.9514,0.0221,10.871,0.013,3.5403,0.0219,1.0266,0.922,0.043,-0.054,0.888,0.016,-0.015,1.309,0.094,-0.117,5438.4,87.3,-87.2,0.069,0.113,-0.126,4.505,0.025,-0.036,4.1,4.29,-2.76,0,5,130.0,1.0054,0.0060513230605193,3.6961208780500003,2.3627379994728415e-06,-2.4172460006965935e-06,67.501441481,0.0005624808400028769,-0.0005298610000039616,0.017809302513000003,0.0005376481655199987,-0.0001693477630800022,0.10271854757786278,0.0008000390062811724,-0.000762042171110075,0.26588487363,0.2535565761888,-0.18088290718192002,2.1e-06,2.052890309899434,0.052822809510757254,1.72500578563603,0.048969986242859295,1.5461179928925581,0.07202991571031842,1.5784124463947566,0.07202991571031842,0.04553606813696051,5.702023813481925e-06,-7.16068106809358e-06
25,K00070.03,CONFIRMED,6850504,K00070,12.498,12.9514,0.0221,10.871,0.013,3.5403,0.0219,1.0266,0.922,0.043,-0.054,0.888,0.016,-0.015,1.309,0.094,-0.117,5438.4,87.3,-87.2,0.069,0.113,-0.126,4.505,0.025,-0.036,4.1,4.29,-2.76,0,5,100.5,1.0054,0.0006756955337523,77.6114376205,0.00015602198000408407,-0.00015656253999907221,97.72924768049998,0.001681484220014795,-0.0016766077799843515,0.025940288718000002,0.0009154645469599994,-0.00027871473616000036,0.3002920874017935,0.0026930763124379253,-0.002158951836843226,0.288117504985,0.26497055585539997,-0.19836787792052,3.1e-06,1.4686759827723848,0.06477851439045376,2.512571623001833,0.0788743256663777,3.1478228285563685,0.1020657394817675,2.730764899139681,0.1020657394817675,0.34658404785598085,4.339923438940271e-05,-5.4501364116924334e-05
26,K00070.04,CONFIRMED,6850504,K00070,12.498,12.9514,0.0221,10.871,0.013,3.5403,0.0219,1.0266,0.922,0.043,-0.054,0.888,0.016,-0.015,1.309,0.094,-0.117,5438.4,87.3,-87.2,0.069,0.113,-0.126,4.505,0.025,-0.036,4.1,4.29,-2.76,0,5,24.8,1.0054,0.0016789181763192,6.098556137899999,2.6276488000576137e-05,-2.388529999919342e-05,68.9288803055,0.003558971580005732,-0.0039551497000047675,0.008424359804649999,0.00037773270275000097,-0.00024022181227000006,0.1237094646212187,0.004299758309792928,-0.0039019721913864797,0.32409333747,0.28665656023039987,-0.2219883459104,0.00042,1.9428660086654965,0.03705004891415426,0.8159819505953754,0.033809421761418344,0.7727793797405348,0.050157582920059965,0.8159819505953754,0.033809421761418344,0.06358325666139152,7.961891714750664e-06,-9.998654711547348e-06
27,K00070.05,CONFIRMED,6850504,K00070,12.498,12.9514,0.0221,10.871,0.013,3.5403,0.0219,1.0266,0.922,0.043,-0.054,0.888,0.016,-0.015,1.309,0.094,-0.117,5438.4,87.3,-87.2,0.069,0.113,-0.126,4.505,0.025,-0.036,4.1,4.29,-2.76,0,5,17.2,1.0054,0.0004031208029608,19.577554167499997,0.00014123506000274233,-0.00014564305999797966,68.205653432,0.006168159240004911,-0.006144137920003345,0.00902207193385,0.000423152550306,-0.00033451872589800036,0.1434954694072836,0.007414494525317034,-0.007123713583463975,0.30330228367,0.28314613158759994,-0.21100276396944,0.14,1.7089304778001544,0.03610485667223697,0.8738762381601021,0.039972268889767036,0.9408997610507959,0.053864115657073705,0.8738762381601021,0.039972268889767036,0.1383663146520991,1.732622190297576e-05,-2.1758511226992817e-05
28,K00072.01,CONFIRMED,11904151,K00072,10.961,11.3326,0.0211,9.496,0.021,5.3918,0.0233,0.9396,0.93,0.071,-0.063,1.066,0.022,-0.022,0.76,0.09,-0.078,5730.1,107.0,-102.9,-0.093,0.144,-0.153,4.348,0.042,-0.04,8.52,3.59,-3.52,0,2,189.5,1.0005,0.0167165954131168,0.83749118963,2.884351999465906e-07,-3.131168000436446e-07,64.5748574025,0.0002855084999993096,-0.00027229938000061793,0.012651778385000001,0.0004294491841599999,-9.82521609600006e-05,0.0749081145942615,0.0005015549701279931,-0.00037772060109957095,0.26620388088,0.29850563006999997,-0.18927737539996004,0.00016,2.41707427313181,0.126194708053833,1.4710907337805676,0.047262264666275054,1.1198691658941151,0.13475468823821002,1.2792487478451802,0.13475468823821002,0.016973142526902373,3.479153756361754e-06,-3.0871364317012744e-06
29,K00072.02,CONFIRMED,11904151,K00072,10.961,11.3326,0.0211,9.496,0.021,5.3918,0.0233,0.9396,0.93,0.071,-0.063,1.066,0.022,-0.022,0.76,0.09,-0.078,5730.1,107.0,-102.9,-0.093,0.144,-0.153,4.348,0.042,-0.04,8.52,3.59,-3.52,0,2,134.8,1.0005,0.0010300153442896,45.294228061,5.594507999973075e-05,-5.742324000124199e-05,71.67865520550001,0.0010129455399834342,-0.0009995271000065031,0.019966694075999998,0.0004663186586800032,-0.00016098552899999896,0.2853424785851918,0.0016982681488693085,-0.0013336020709096008,0.256900697745,0.240180001375,-0.17923288290904002,0.00012,1.5583073106973337,0.05349762445640683,2.3216355634445414,0.06277654457325907,2.7413138649951825,0.08247963609908278,2.515264759221134,0.08247963609908278,0.2427377573013965,4.975637120747776e-05,-4.4150019522128145e-05
